city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
湖州,湖州,129,10085.0,10796.286821705426,105.0,105.0
新民,新民,74,10080.5,10905.945945945947,95.5,96.95
兴化,兴化,108,10072.5,10414.222222222223,120.0,122.5
龙岩,龙岩,120,10000.0,10453.175,111.0,105.0
丰县,丰县,129,10000.0,9349.139534883721,93.0,106.0
湛江,湛江,140,10000.0,10333.421428571428,105.0,110.0
宜良,宜良,73,10000.0,10903.575342465754,110.0,108.0
阜阳,阜阳,120,10000.0,10069.808333333332,103.5,105.5
保山,保山,103,9992.0,12218.95145631068,99.0,99.83
榆树,榆树,100,9939.0,10218.74,93.0,89.785
任丘,任丘,110,9857.5,9882.245454545455,108.5,106.0
当阳,当阳,40,9825.0,10990.2,101.5,109.005
诸暨,诸暨,117,9790.0,11558.0,102.0,106.0
慈溪,慈溪,118,9786.0,9497.237288135593,93.0,99.0
淄博,淄博,120,9780.0,9568.733333333334,120.0,120.0
宜昌,宜昌,59,9766.0,9954.22033898305,113.0,115.0
宝应,宝应,122,9761.5,11008.72950819672,111.0,101.5
泰安,泰安,120,9761.0,10630.391666666666,106.5,109.5
聊城,聊城,120,9745.0,9914.85,94.0,94.0
长春,长春,62,9736.0,9999.258064516129,90.95,90.0
德惠,德惠,80,9691.0,10033.4375,89.4,90.83
睢宁,睢宁,124,9689.5,10184.709677419354,100.0,106.0
儋州,儋州,55,9677.0,10151.527272727273,72.0,70.0
连云港,连云港,120,9670.0,9903.191666666668,105.5,119.5
宜兴,宜兴,120,9650.5,10232.808333333332,113.5,118.275
临清,临清,76,9639.5,9127.921052631578,88.0,99.0
农安,农安,67,9615.0,9855.701492537313,86.0,91.0
启东,启东,100,9597.0,11081.46,98.15,98.25
金湖,金湖,60,9581.5,10868.35,112.5,102.5
句容,句容,119,9551.0,10338.268907563026,100.0,98.0
临沂,临沂,127,9533.0,10418.417322834646,110.0,120.0
宜都,宜都,59,9467.0,9514.322033898305,105.0,125.0
宿迁,宿迁,120,9462.0,9790.116666666667,104.0,108.37
南阳,南阳,131,9426.0,9636.221374045801,112.0,118.0
贵阳,贵阳,99,9289.0,10007.747474747475,100.0,116.0
昆明,昆明,97,9278.0,9731.041237113403,90.0,109.0
淮安,淮安,36,9257.5,10307.527777777777,111.0,108.0
枝江,枝江,38,9248.5,9140.21052631579,89.0,100.0
平湖,平湖,123,9213.0,9270.69918699187,80.0,89.0
嘉兴,Jiaxing,95,9191.0,9576.568421052632,75.0,87.0
邯郸,邯郸,114,9182.0,8710.263157894737,92.0,104.5
老河口,老河口,55,9130.0,9159.654545454545,89.1,105.0
滦县,滦县,56,9120.0,11286.32142857143,94.5,107.0
武安,武安,55,9091.0,8691.854545454546,92.0,107.0
修文,修文,84,9088.0,9573.5,100.0,112.5
承德,承德,120,9085.5,9343.958333333334,85.0,99.3
东海,东海,60,9024.5,10013.083333333334,105.0,116.5
长兴,长兴,58,9001.0,9479.362068965518,110.0,110.0
海宁,海宁,127,8929.0,9345.811023622047,80.0,89.0
威海,威海,88,8918.0,9611.227272727272,77.5,88.0
开阳,开阳,71,8909.0,9692.408450704226,100.0,115.0
西双版纳,西双版纳,140,8869.5,9865.342857142858,88.0,105.5
